model,price,avg_rating,5G_or_not,processor_brand,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,...,internal_memory,screen_size,refresh_rate,num_rear_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,resolution_height,resolution_width
Motorola ThinkPhone,49990,8.9,1,snapdragon,8,3.2,5000,1,68,8,128,6.6,144,3,android,50,32,0,2400,1080
Motorola One Macro,11490,6.8,0,helio,8,2,4000,1,10,4,64,6.2,60,3,android,13,8,1,1520,720
Motorola One Fusion Plus,19499,8,0,snapdragon,8,2.2,5000,1,18,6,128,6.5,60,4,android,64,16,1,2340,1080
Motorola Moto X40,39999,8.9,1,snapdragon,8,3.2,4600,1,125,8,128,6.7,165,3,android,50,60,0,2400,1080
Motorola Moto X30 Pro,41990,0,1,snapdragon,8,3.2,4450,1,125,8,128,6.67,144,3,android,200,60,0,2400,1080
Motorola Moto S30 Pro,23990,8.3,1,snapdragon,8,2.9,4400,1,68,8,128,6.55,144,3,android,50,32,0,2460,1080
Motorola Moto G91 5G,19990,8,1,snapdragon,8,2.2,5000,1,0,6,128,6.8,60,3,android,108,32,1,2400,1080
Motorola Moto G82 5G,18999,8.3,1,snapdragon,8,2.2,5000,1,30,6,128,6.6,120,3,android,50,16,1,2400,1080
Motorola Moto G82 (8GB RAM + 128GB),20499,8.6,1,snapdragon,8,2.2,5000,1,30,8,128,6.6,120,3,android,50,16,1,2400,1080
Motorola Moto G73,25999,8.5,1,dimensity,8,2.2,5000,1,30,8,256,6.5,120,2,android,50,16,1,2400,1080
Motorola Moto G72 4G,15999,8.3,0,helio,8,2.2,5000,1,33,6,128,6.55,120,3,android,108,16,1,2400,1080
Motorola Moto G72,19990,8.1,1,snapdragon,8,2.2,5000,1,33,6,128,6.5,120,3,android,108,16,0,2400,1080
Motorola Moto G71 5G,16999,8,1,snapdragon,8,2.2,5000,1,33,6,128,6.4,60,3,android,50,16,0,2400,1080
Motorola Moto G62 5G,14999,8.1,1,snapdragon,8,2.2,5000,1,0,6,128,6.55,120,3,android,50,16,1,2400,1080
Motorola Moto G62 (8GB RAM + 128GB),16499,8.4,1,snapdragon,8,2.2,5000,1,0,8,128,6.55,120,3,android,50,16,1,2400,1080
Motorola Moto G60,15999,8.4,0,snapdragon,8,2.3,6000,1,20,6,128,6.78,120,3,android,108,32,1,2460,1080
Motorola Moto G53,21999,7.9,1,snapdragon,8,2.2,5000,1,10,4,128,6.5,120,2,android,50,16,1,1600,720
Motorola Moto G52 5G,16999,7.6,1,snapdragon,8,2.2,5000,1,33,4,64,6.6,90,3,android,50,16,1,1080,2460
