model,price,avg_rating,5G_or_not,processor_brand,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,...,internal_memory,screen_size,refresh_rate,num_rear_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,resolution_height,resolution_width
OnePlus Z,24999,7.9,0,snapdragon,8,2.4,4300,1,30,8,128,6.55,90,3,android,64,16,0,2400,1080
OnePlus Nord SE,19999,7.3,0,snapdragon,8,2,4500,1,65,4,64,6.3,60,4,android,48,13,1,2400,1080
OnePlus Nord N300,18990,7.5,1,dimensity,8,2.4,5000,1,33,4,64,6.56,90,2,android,48,16,1,1612,720
OnePlus Nord N200,16990,7.5,1,snapdragon,8,2,5000,1,18,4,64,6.49,90,3,android,13,16,1,2400,1080
OnePlus Nord N20 5G,20990,8.1,1,snapdragon,8,2.2,4500,1,33,6,128,6.43,60,3,android,64,16,1,2400,1080
OnePlus Nord N100,16990,6.8,0,snapdragon,8,1.8,5000,1,18,4,64,6.52,90,3,android,13,8,1,1600,720
OnePlus Nord N10,25595,8.1,1,snapdragon,8,2,4300,1,30,6,128,6.49,90,4,android,64,16,1,2400,1080
OnePlus Nord Lite,19999,7.7,0,snapdragon,8,2,4300,1,30,8,128,6.55,90,3,android,48,16,0,2400,1080
OnePlus Nord CE 3 Lite 5G,18999,8.1,1,snapdragon,8,2.2,5000,1,33,6,128,6.59,120,3,android,50,16,1,2412,1080
OnePlus Nord CE 3 5G,21999,8.3,1,snapdragon,8,2.2,5000,1,67,6,128,6.7,120,3,android,108,16,1,2412,1080
OnePlus Nord CE 2 Lite 5G (8GB RAM + 256GB),24999,8.5,1,snapdragon,8,2.2,5000,1,33,8,256,6.59,120,3,android,64,16,1,2412,1080
OnePlus Nord CE 2 Lite 5G (8GB RAM + 128GB),21995,8.4,1,snapdragon,8,2.2,5000,1,33,8,128,6.59,120,3,android,64,16,1,2412,1080
OnePlus Nord CE 2 Lite 5G,19989,8.1,1,snapdragon,8,2.2,5000,1,33,6,128,6.59,120,3,android,64,16,1,2412,1080
OnePlus Nord 5,34999,7.6,1,dimensity,8,0,5000,1,120,8,128,6.57,120,3,android,64,32,0,2400,1080
OnePlus Nord 4 5G,29999,8.3,1,snapdragon,8,2.36,4500,1,80,8,128,6.43,120,3,android,50,32,0,2412,1080
OnePlus Nord 3T 5G,29990,8.4,1,dimensity,8,3,4500,1,80,8,128,6.43,90,3,android,50,32,0,2400,1080
OnePlus Nord 3 5G,27999,8.4,1,dimensity,8,3.1,4200,1,120,8,128,6.43,90,3,android,50,32,0,2400,1080
OnePlus Nord 2T 5G,28999,8.4,1,dimensity,8,3,4500,1,80,8,128,6.43,90,3,android,50,32,0,2400,1080
OnePlus Nord 2T (12GB RAM + 256GB),33900,8.5,1,dimensity,8,3,4500,1,80,12,256,6.43,90,3,android,50,32,0,2400,1080
OnePlus Nord 2 Lite 5G,22999,8.3,1,snapdragon,8,2.2,5000,1,33,8,128,6.59,120,3,android,64,16,1,2412,1080
OnePlus Clover,14999,6.9,0,snapdragon,8,1.8,6000,1,18,4,64,6.52,60,3,android,13,8,1,1560,720
OnePlus Ace Racing Edition 5G,22990,8.3,1,dimensity,8,2.85,5000,1,0,8,128,6.59,120,3,android,64,16,0,2412,1080
OnePlus Ace Pro,47990,8.6,1,snapdragon,8,3.2,4800,1,150,12,256,6.7,120,3,android,50,16,0,2412,1080
OnePlus Ace 5G,28990,8.4,1,dimensity,8,2.85,4500,1,150,8,128,6.7,120,3,android,50,16,0,2412,1080
OnePlus Ace 2,34999,8.4,1,snapdragon,8,3.2,5000,1,100,8,128,6.7,120,3,android,50,16,0,2412,1080
OnePlus 9T,44999,8.6,1,snapdragon,8,2.84,4500,1,65,8,128,6.55,120,4,android,108,16,0,2400,1080
OnePlus 9RT 5G,42999,8.5,1,snapdragon,8,2.84,4500,1,0,8,128,6.62,120,3,android,50,16,0,2400,1080
OnePlus 9 Pro,64800,8.9,1,snapdragon,8,2.84,4500,1,65,8,128,6.7,120,4,android,48,16,0,3216,1440
OnePlus 6 (8GB RAM + 128GB),27999,7.7,0,snapdragon,8,2.8,3300,0,0,8,128,6.28,60,2,android,20,16,0,2280,1080
OnePlus 12 Pro,69999,0,1,snapdragon,8,3.2,4800,1,150,12,256,6.73,144,3,android,108,32,0,3412,1440
OnePlus 11R,39999,8.5,1,snapdragon,8,3.2,5000,1,100,8,128,6.7,120,3,android,50,16,0,2412,1080
OnePlus 11 Pro,69999,0,1,snapdragon,8,3.2,4500,1,100,8,128,6.7,120,3,android,50,16,0,3216,1440
OnePlus 11 5G,54999,8.9,1,snapdragon,8,3.2,5000,1,100,12,256,6.7,120,3,android,50,16,0,3216,1440
OnePlus 10T (16GB RAM + 256GB),55999,8.7,1,snapdragon,8,3.2,4800,1,150,16,256,6.7,120,3,android,50,16,0,2412,1080
OnePlus 10T (12GB RAM + 256GB),50999,8.7,1,snapdragon,8,3.2,4800,1,150,12,256,6.7,120,3,android,50,16,0,2412,1080
OnePlus 10T,44999,8.5,1,snapdragon,8,3.2,4800,1,150,8,128,6.7,120,3,android,50,16,0,2412,1080
OnePlus 10R Prime Edition,35389,8.5,1,dimensity,8,2.85,5000,1,80,8,128,6.7,120,3,android,50,16,0,2412,1080
OnePlus 10R 5G (12GB RAM + 256GB),36999,8.7,1,dimensity,8,2.85,5000,1,80,12,256,6.7,120,3,android,50,16,0,2412,1080
OnePlus 10R 5G,32999,8.6,1,dimensity,8,2.85,5000,1,80,8,128,6.7,120,3,android,50,16,0,2412,1080
OnePlus 10 Pro 5G (12GB RAM + 512GB),74999,0,1,snapdragon,8,3,5000,1,80,12,512,6.7,120,3,android,50,32,0,3216,1440
OnePlus 10 Pro 5G (12GB RAM + 256GB),65499,0,1,snapdragon,8,3,5000,1,80,12,256,6.7,120,3,android,50,32,0,3216,1440
OnePlus 10 Pro 5G,60999,8.9,1,snapdragon,8,3,5000,1,80,8,128,6.7,120,3,android,50,32,0,3216,1440
