model,price,avg_rating,5G_or_not,processor_brand,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,...,internal_memory,screen_size,refresh_rate,num_rear_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,resolution_height,resolution_width
Oppo Reno 8T 4G,19999,8.3,0,helio,8,2.2,5000,1,66,8,256,6.67,120,3,android,50,16,1,2400,1080
Oppo Reno 8T,29990,8.7,1,snapdragon,8,2.2,5000,1,66,8,256,6.67,120,3,android,108,16,1,2400,1080
Oppo Reno 8 Pro (8GB RAM + 256GB),42990,8.5,1,dimensity,8,2.85,4500,1,80,8,256,6.7,120,3,android,50,32,0,2412,1080
Oppo Reno 5A,22990,8,1,snapdragon,8,2.4,4000,1,18,6,128,6.5,90,4,android,64,16,1,2400,1080
Oppo Reno 5 Pro 5G,38700,8.4,1,dimensity,8,2.6,4350,1,65,8,128,6.53,90,4,android,64,32,0,2400,1080
Oppo Reno 5,29990,8.3,1,snapdragon,8,2.4,4300,1,65,8,128,6.43,60,4,android,64,32,0,2400,1080
Oppo Reno 10 Pro Plus,58990,8.8,1,snapdragon,8,3.2,4700,1,80,12,256,6.73,120,4,android,64,32,0,2412,1080
Oppo K5 (8GB RAM + 128GB),19990,8.2,0,snapdragon,8,2.2,4000,1,30,8,128,6.4,60,4,android,64,32,1,2340,1080
Oppo K10x 5G,16990,7.8,1,snapdragon,8,2.2,5000,1,67,6,128,6.59,120,3,android,64,16,0,2412,1080
Oppo K10 Pro 5G,29990,8.1,1,snapdragon,8,2.84,5000,1,80,8,128,6.62,120,3,android,50,16,0,2400,1080
Oppo Find X6 Pro,77990,0,1,snapdragon,8,3.2,4700,1,120,12,256,6.78,120,3,android,50,32,0,2400,1080
Oppo Find X6,69990,8.9,1,snapdragon,8,3.2,4700,1,120,8,256,6.73,120,3,android,50,32,0,2400,1080
Oppo Find X5 Pro 5G,79990,0,1,snapdragon,8,3,5000,1,80,8,256,6.7,120,3,android,50,32,0,3216,1440
Oppo Find X3 Pro,50990,0,1,snapdragon,8,2.84,4500,1,65,12,256,6.7,120,4,android,50,32,0,3216,1440
Oppo Find N2 5G,94990,0,1,snapdragon,8,3.2,4520,1,67,12,256,7.1,120,3,,50,32,0,1920,1792
Oppo Find N Fold,99990,0,1,snapdragon,8,3.2,5000,1,67,8,256,7.1,120,2,other,50,0,0,1920,1792
Oppo Find N 5G,92249,0,1,snapdragon,8,2.84,4500,1,33,8,256,7.1,120,3,android,50,32,0,1920,1792
Oppo A98,30990,8.7,1,snapdragon,8,3,5000,1,67,8,128,6.7,120,2,android,108,16,1,2412,1080
Oppo A96 5G,22990,8.2,1,snapdragon,8,2.2,4500,1,33,8,256,6.43,60,2,android,48,16,1,2400,1080
Oppo A78,18999,7.9,1,dimensity,8,2.2,5000,1,33,8,128,6.56,90,2,android,50,8,1,1612,720
Oppo A77 5G,21990,7.6,1,snapdragon,8,2.4,5000,1,33,6,128,6.56,90,2,android,48,8,1,1600,720
Oppo A56s,12999,7.5,1,dimensity,8,2.4,5000,0,0,8,128,6.56,60,2,android,13,8,1,1612,720
Oppo A56 5G,17990,7.3,1,dimensity,8,2.2,5000,0,0,6,128,6.5,60,2,android,13,8,1,1600,720
