model,price,avg_rating,5G_or_not,processor_brand,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,ram_capacity,internal_memory,screen_size,refresh_rate,num_rear_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,resolution_height,resolution_width
Vivo Y95,15000,6.5,0,snapdragon,8,1.95,4030,0,0,4,64,6.22,60,2,android,13,20,1,720,1520
Vivo Y93,18000,6.2,0,helio,8,2,4030,0,0,4,32,6.2,60,2,android,13,8,1,720,1520
Vivo Y91c,8199,0,0,helio,8,2,4030,0,0,2,32,6.22,60,1,android,13,5,1,1520,720
Vivo Y78 5G,24990,7.7,1,dimensity,8,3,4500,1,0,8,128,6.58,90,3,android,50,16,0,2400,1080
Vivo Y77 5G,17990,7.6,1,dimensity,8,2.2,4500,1,80,6,128,6.64,120,2,android,50,8,1,2388,1080
Vivo Y75 5G,21990,8.2,1,dimensity,8,2.2,5000,1,18,8,128,6.58,60,3,android,50,16,1,2408,1080
Vivo Y75 4G,19990,8.2,0,helio,8,2.05,4050,1,44,8,128,6.44,60,3,android,50,44,1,2400,1080
Vivo Y73T,16990,7.7,1,dimensity,8,2,6000,1,44,8,128,6.58,60,2,android,50,8,0,2408,1080
Vivo Y73 2021,19990,8,0,helio,8,2.05,4000,1,33,8,128,6.44,60,3,android,64,16,1,2400,1080
Vivo Y71,25000,0,0,snapdragon,4,1.4,3360,0,0,3,16,6,60,1,android,13,5,1,1440,720
Vivo Y55s 5G,19990,7.9,1,dimensity,8,2.2,6000,1,18,8,128,6.58,60,2,android,50,8,0,2408,1080
Vivo Y55s 2023,21999,7.8,1,dimensity,8,2.2,5000,1,18,4,128,6.58,60,3,android,50,8,1,2408,1080
Vivo Y55S,13490,0,0,snapdragon,4,1.2,2730,0,0,3,16,5.2,60,1,android,13,5,1,1280,720
Vivo Y55 5G,20990,7.7,1,dimensity,8,2.2,5000,1,18,4,128,6.58,60,3,android,50,8,1,2408,1080
Vivo Y55 4G,22990,8.3,0,snapdragon,8,2.4,5000,1,44,8,128,6.44,120,3,android,50,16,1,2400,1080
Vivo Y53t,11999,6.7,1,dimensity,8,2,6000,1,15,4,128,6.51,60,2,android,13,5,0,1600,720
Vivo Y53s,15490,7.9,0,helio,8,2,5000,1,19,8,128,6.58,60,3,android,64,16,1,2408,1080
Vivo Y35 5G,13999,7,1,dimensity,8,2.2,5000,1,15,4,128,6.51,60,2,android,13,5,1,1600,720
